NAME,LATITUDE,LONGITUDE,NAICS_DESC,OPER_CAP,SUMMER_CAP,WINTER_CAP,GEN_UNITS,LINES
SINCLAIR DAM,33.13983985,-83.2036421,HYDROELECTRIC POWER GENERATION,45,43.8,43.8,2,1
TALLULAH FALLS,34.73131215,-83.37575553,HYDROELECTRIC POWER GENERATION,72,72.9,72.9,6,1
TERRORA,34.7504,-83.4063,HYDROELECTRIC POWER GENERATION,16,16.6,16.6,2,1
TUGALO,34.71325836,-83.35172154,HYDROELECTRIC POWER GENERATION,44.8,52,52.4,4,1
MITCHELL (GA),31.44427826,-84.13532742,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
YATES,33.46193232,-84.89763693,FOSSIL FUEL ELECTRIC POWER GENERATION,807.4,714,714,2,1
YONAH,34.68148,-83.34264,HYDROELECTRIC POWER GENERATION,22.5,28.5,28.8,3,1
BOULEVARD,32.0411,-81.145,FOSSIL FUEL ELECTRIC POWER GENERATION,15.6,14,18.6,1,0
KRAFT,32.1487267,-81.14535651,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
RIVERSIDE (GA),32.08361,-81.09556,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
STEVENS CREEK,33.56256078,-82.05148719,HYDROELECTRIC POWER GENERATION,17.6,12,15.2,8,1
DINNER LAKE,27.50784371,-81.4367714,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
PHILLIPS,27.4441005,-81.36331883,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
LAKE BLACKSHEAR PROJECT,31.84767026,-83.94208328,HYDROELECTRIC POWER GENERATION,17.2,15.2,15.2,4,1
CRISP PLANT,31.84471,-83.94073,FOSSIL FUEL ELECTRIC POWER GENERATION,17.5,14,14,2,1
HARTWELL LAKE,34.35655467,-82.82175723,HYDROELECTRIC POWER GENERATION,420,405,405,5,1
BLUE RIDGE,34.88384,-84.28207,HYDROELECTRIC POWER GENERATION,23.5,17.3,14.7,2,0
NOTTELY,34.95948602,-84.08816695,HYDROELECTRIC POWER GENERATION,15.9,20.1,19.3,2,1
BUFORD,34.16197067,-84.07600776,HYDROELECTRIC POWER GENERATION,131.2,126.8,126.6,3,1
ALLATOONA,34.1637,-84.7282,HYDROELECTRIC POWER GENERATION,86.6,72,72,3,0
WALTER F GEORGE,31.62453991,-85.06502289,HYDROELECTRIC POWER GENERATION,168,168,168,4,1
PONCA,36.71983859,-97.08577423,FOSSIL FUEL ELECTRIC POWER GENERATION,48,34,34,1,1
HONOLULU,21.30556268,-157.8635306,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
KAHE,21.356395,-158.128853,FOSSIL FUEL ELECTRIC POWER GENERATION,609.7,582.1,582.1,6,1
WAIAU,21.388997,-157.961518,FOSSIL FUEL ELECTRIC POWER GENERATION,474.6,456.6,456.6,8,1
WAIMEA,20.0252,-155.6955,FOSSIL FUEL ELECTRIC POWER GENERATION,7.5,7.5,7.5,3,1
KANOELEHUA,19.7052,-155.0625,FOSSIL FUEL ELECTRIC POWER GENERATION,21,20,20,5,1
W H HILL,19.7041,-155.0607,FOSSIL FUEL ELECTRIC POWER GENERATION,37.1,35.5,35.5,2,1
WAIAU HYDRO,19.7203,-155.1189,HYDROELECTRIC POWER GENERATION,1,1,1,2,0
BASIN MILLS,44.88200632,-68.66395975,HYDROELECTRIC POWER GENERATION,0,0,0,0,0
VEAZIE C,44.82200233,-68.70859466,HYDROELECTRIC POWER GENERATION,0,0,0,0,0
KINGSLEY,41.21152135,-101.6680001,HYDROELECTRIC POWER GENERATION,50,41,41,1,1
EAST BARNET,44.32637613,-72.03589,HYDROELECTRIC POWER GENERATION,2.2,1.9,1.9,1,0
ORCA,60.53428587,-145.7791547,FOSSIL FUEL ELECTRIC POWER GENERATION,10.7,10.7,10.7,5,0
PALAAU POWER,21.10606544,-157.0645572,FOSSIL FUEL ELECTRIC POWER GENERATION,17.1,16,16,11,0
CHARLES E MONTY,44.09946,-70.22085,HYDROELECTRIC POWER GENERATION,28.4,28,28,2,0
JARVIS (HINCKLEY),43.3121,-75.109,HYDROELECTRIC POWER GENERATION,9,9,9,2,1
E D EDWARDS,40.59565723,-89.66305241,FOSSIL FUEL ELECTRIC POWER GENERATION,644.3,560,585,2,1
STERLING AVENUE,40.62528,-89.63111,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
COFFEEN,39.05921357,-89.40337794,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
GRAND TOWER ENERGY CENTER LLC,37.65768427,-89.51145892,FOSSIL FUEL ELECTRIC POWER GENERATION,640.9,511,551,4,1
HUTSONVILLE,39.13375624,-87.65958987,NOT AVAILABLE,0,0,0,0,1
MEREDOSIA,39.82333,-90.56722,NOT AVAILABLE,0,0,0,0,1
BLOOM,42.05722,-87.86944,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
CALUMET,41.71322453,-87.54113103,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
CRAWFORD,41.82852199,-87.72267485,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
DRESDEN GENERATING STATION,41.39,-88.27,NUCLEAR ELECTRIC POWER GENERATION,2018.6,1797,1805,2,1
ELECTRIC JUNCTION,41.48008532,-89.04264951,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
